"","V1","V2","blastp"
"415","Mpha_ver3_rna-XM_012669415.3_R0","gene_12124","PREDICTED: protein FAM151B [Acromyrmex echinatior]"
"417","Aech_RNA982_R0","gene_12124","PREDICTED: protein FAM151B [Acromyrmex echinatior]"
"418","Mpha_ver3_rna-XM_012669416.3_R0","gene_12124","Protein FAM151B [Acromyrmex echinatior]"
"419","Aech_RNA980_R0","gene_12125","PREDICTED: putative uncharacterized protein DDB_G0282133 [Acromyrmex echinatior]"
"422","Sinv_RNA-XM_026129898.1_R3","gene_11963",NA
"423","Sinv_RNA-XM_011167306.2_R0","gene_12126","PREDICTED: COMM domain-containing protein 8-like isoform X1 [Acromyrmex echinatior]"
"425","Aech_RNA979_R0","gene_12126","PREDICTED: COMM domain-containing protein 8-like isoform X1 [Acromyrmex echinatior]"
"426","Aech_RNA978_R0","gene_12126","PREDICTED: uncharacterized protein LOC105146501 isoform X2 [Acromyrmex echinatior]"
"427","Sinv_RNA-XM_026132675.1_R0","gene_11964","PREDICTED: nascent polypeptide-associated complex subunit alpha, muscle-specific form [Atta cephalotes]"
"429","Sinv_RNA-XM_026132661.1_R0","gene_12127","uncharacterized protein LOC113003398 [Solenopsis invicta]"
"430","Aech_RNA976_R0","gene_11965","PREDICTED: radial spoke head protein 9 homolog [Acromyrmex echinatior]"
"433","Mpha_ver3_rna-XM_012681655.3_R0","gene_11965","PREDICTED: radial spoke head protein 9 homolog [Acromyrmex echinatior]"
"434","Aech_RNA975_R0","gene_12128","PREDICTED: uncharacterized protein LOC105146724 [Acromyrmex echinatior]"
"435","Aech_RNA11153_R6","gene_11966","PREDICTED: uncharacterized protein LOC105147392 [Acromyrmex echinatior]"
"436","Mpha_ver3_rna-XM_012681657.3_R0","gene_12129","PREDICTED: ankyrin repeat domain-containing protein 49-like [Acromyrmex echinatior]"
"438","Aech_RNA966_R0","gene_12129","PREDICTED: ankyrin repeat domain-containing protein 49-like [Acromyrmex echinatior]"
"439","Aech_RNA957_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X1 [Acromyrmex echinatior]"
"442","Aech_RNA961_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X2 [Acromyrmex echinatior]"
"444","Sinv_RNA-XM_026132595.1_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X2 [Acromyrmex echinatior]"
"446","Sinv_RNA-XM_026132594.1_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X1 [Acromyrmex echinatior]"
"447","Mpha_ver3_rna-XM_036290640.1_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X1 [Acromyrmex echinatior]"
"448","Aech_RNA964_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X3 [Acromyrmex echinatior]"
"449","Mpha_ver3_rna-XM_036290641.1_R0","gene_11967","PREDICTED: lysosomal-trafficking regulator isoform X1 [Acromyrmex echinatior]"
"450","Aech_RNA956_R0","gene_12130","PREDICTED: palmitoyltransferase ZDHHC23 [Acromyrmex echinatior]"
"453","Aech_RNA955_R0","gene_11968","Coiled-coil domain-containing protein [Acromyrmex echinatior]"
"456","Aech_RNA954_R0","gene_12131","PREDICTED: PR domain zinc finger protein 10-like isoform X1 [Acromyrmex echinatior]"
"458","Aech_RNA953_R0","gene_12131","PREDICTED: PR domain zinc finger protein 10-like isoform X2 [Acromyrmex echinatior]"
"460","Aech_RNA951_R0","gene_11969","PREDICTED: potassium channel subfamily K member 13-like [Acromyrmex echinatior]"
"463","Sinv_RNA-XM_011167316.2_R0","gene_11970","Coiled-coil domain-containing protein 85C [Trachymyrmex septentrionalis]"
"465","Aech_RNA950_R0","gene_11970","Coiled-coil domain-containing protein 85C [Trachymyrmex septentrionalis]"
"466","Aech_RNA947_R0","gene_12132","PREDICTED: uncharacterized protein LOC105146352 isoform X1 [Acromyrmex echinatior]"
"467","Aech_RNA948_R0","gene_12132","PREDICTED: uncharacterized protein LOC105146352 isoform X2 [Acromyrmex echinatior]"
"468","Aech_RNA944_R0","gene_12133","PREDICTED: oxidative stress-induced growth inhibitor 2-like [Acromyrmex echinatior]"
"471","Aech_RNA943_R0","gene_11971","PREDICTED: syntaxin-16 [Acromyrmex echinatior]"
"474","Aech_RNA942_R0","gene_11972","PREDICTED: LYR motif-containing protein 4B [Acromyrmex echinatior]"
"477","Aech_RNA940_R0","gene_12134","PREDICTED: probable phenylalanine--tRNA ligase, mitochondrial [Acromyrmex echinatior]"
"480","Aech_RNA938_R0","gene_11973","putative phospholipid-transporting ATPase IIB [Atta colombica]"
"483","Aech_RNA939_R0","gene_11973","PREDICTED: probable phospholipid-transporting ATPase IIB isoform X1 [Atta colombica]"
"486","Aech_RNA936_R0","gene_11974","PREDICTED: coiled-coil domain-containing protein 103-like [Acromyrmex echinatior]"
"487","Mpha_ver3_rna-XM_012670466.3_R0","gene_11974","PREDICTED: coiled-coil domain-containing protein 103-like [Acromyrmex echinatior]"
"488","Sinv_RNA-XM_011167330.2_R0","gene_11974","PREDICTED: coiled-coil domain-containing protein 103-like [Acromyrmex echinatior]"
"489","Sinv_RNA-XM_011167328.2_R0","gene_11975","PREDICTED: transient receptor potential cation channel subfamily V member 5 [Atta colombica]"
"491","Aech_RNA934_R0","gene_11975","PREDICTED: transient receptor potential cation channel subfamily V member 5 isoform X1 [Acromyrmex echinatior]"
"492","Aech_RNA932_R0","gene_11975","PREDICTED: transient receptor potential cation channel subfamily V member 5 isoform X2 [Acromyrmex echinatior]"
"493","Aech_RNA935_R0","gene_11975","PREDICTED: transient receptor potential cation channel subfamily V member 5 isoform X2 [Acromyrmex echinatior]"
"494","Mpha_ver3_rna-XM_012670448.3_R0","gene_11975","PREDICTED: LOW QUALITY PROTEIN: transient receptor potential cation channel subfamily V member 5 [Trachymyrmex septentrionalis]"
"495","Mpha_ver3_rna-XM_012670451.3_R0","gene_11975","PREDICTED: LOW QUALITY PROTEIN: transient receptor potential cation channel subfamily V member 5 [Trachymyrmex septentrionalis]"
"496","Aech_RNA933_R0","gene_12135","PREDICTED: uncharacterized protein LOC105146296 [Acromyrmex echinatior]"
"497","Sinv_RNA-XM_026132658.1_R0","gene_12135","PREDICTED: uncharacterized protein LOC105146296 [Acromyrmex echinatior]"
"498","Aech_RNA927_R0","gene_12136","PREDICTED: uncharacterized peptidase C1-like protein F26E4.3 isoform X1 [Acromyrmex echinatior]"
"501","Aech_RNA929_R0","gene_12136","PREDICTED: uncharacterized peptidase C1-like protein F26E4.3 isoform X1 [Acromyrmex echinatior]"
"502","Sinv_RNA-XM_011167332.2_R0","gene_12136","PREDICTED: uncharacterized peptidase C1-like protein F26E4.3 isoform X1 [Acromyrmex echinatior]"
"503","Sinv_RNA-XM_011167334.2_R0","gene_12136","PREDICTED: uncharacterized peptidase C1-like protein F26E4.3 isoform X1 [Acromyrmex echinatior]"
"504","Aech_RNA925_R0","gene_11976","PREDICTED: uncharacterized protein LOC105146247 [Acromyrmex echinatior]"
"507","Aech_RNA924_R0","gene_12137","PREDICTED: 60S ribosomal protein L15 [Acromyrmex echinatior]"
"510","Aech_RNA923_R0","gene_11977","PREDICTED: actin-related protein 2/3 complex subunit 3 [Acromyrmex echinatior]"
"513","Sinv_RNA-XM_026132659.1_R0","gene_11977","Actin-related protein 2/3 complex subunit 3 [Acromyrmex echinatior]"
"514","Aech_RNA922_R0","gene_12138","PREDICTED: zinc finger protein 568-like [Acromyrmex echinatior]"
"515","Sinv_RNA-XM_011167344.2_R0","gene_12138","PREDICTED: zinc finger protein 568-like [Acromyrmex echinatior]"
"516","Mpha_ver3_rna-XM_012670470.3_R0","gene_12138","PREDICTED: zinc finger protein 568-like [Acromyrmex echinatior]"
"517","Aech_RNA921_R0","gene_12139","Glutathione S-transferase [Acromyrmex echinatior]"
"526","Sinv_RNA-XM_011167347.2_R0","gene_12139","Glutathione S-transferase [Acromyrmex echinatior]"
"527","Aech_RNA920_R0","gene_12140","PREDICTED: glutathione S-transferase-like [Acromyrmex echinatior]"
"530","Aech_RNA919_R0","gene_12141","PREDICTED: glutathione S-transferase-like [Acromyrmex echinatior]"
"533","Mpha_ver3_rna-XM_028190179.2_R2","gene_12142","PREDICTED: uncharacterized protein LOC105146708 [Acromyrmex echinatior]"
"535","Aech_RNA918_R0","gene_12142","PREDICTED: uncharacterized protein LOC105146708 [Acromyrmex echinatior]"
"536","Aech_RNA914_R0","gene_11978","PREDICTED: neuromedin-U receptor 2-like isoform X1 [Acromyrmex echinatior]"
"539","Aech_RNA916_R0","gene_11978","PREDICTED: neuromedin-U receptor 2-like isoform X2 [Acromyrmex echinatior]"
"542","Mpha_ver3_rna-XM_012686925.3_R1","gene_11978","PREDICTED: neuromedin-U receptor 2-like isoform X1 [Acromyrmex echinatior]"
"543","Sinv_RNA-XM_011163487.2_R1","gene_11978","PREDICTED: neuromedin-U receptor 2-like isoform X2 [Acromyrmex echinatior]"
"544","Sinv_RNA-XM_011163486.2_R1","gene_11978","PREDICTED: neuromedin-U receptor 2-like isoform X2 [Acromyrmex echinatior]"
"545","Aech_RNA911_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like isoform X1 [Acromyrmex echinatior]"
"548","Sinv_RNA-XM_026132603.1_R0","gene_11979","Glutamyl aminopeptidase [Trachymyrmex septentrionalis]"
"549","Aech_RNA913_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like [Acromyrmex echinatior]"
"550","Aech_RNA912_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like isoform X2 [Acromyrmex echinatior]"
"551","Mpha_ver3_rna-XM_028190175.2_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like [Acromyrmex echinatior]"
"553","Mpha_ver3_rna-XM_036290620.1_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like [Acromyrmex echinatior]"
"554","Mpha_ver3_rna-XM_036290622.1_R0","gene_11979","PREDICTED: glutamyl aminopeptidase-like [Acromyrmex echinatior]"
"555","Mpha_ver3_rna-XM_036290622.1_R1","gene_11979","PREDICTED: glutamyl aminopeptidase-like isoform X1 [Acromyrmex echinatior]"
"556","Aech_RNA906_R0","gene_11980","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"565","Aech_RNA910_R0","gene_11980","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"566","Aech_RNA908_R0","gene_12143","PREDICTED: putative uncharacterized protein FLJ37770 [Acromyrmex echinatior]"
"567","Mpha_ver3_rna-XM_012673907.3_R0","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"580","Aech_RNA905_R0","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"584","Sinv_RNA-XM_011167360.2_R0","gene_12144","Acyl-CoA Delta(11) desaturase [Trachymyrmex septentrionalis]"
"585","Aech_RNA903_R0","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"586","Aech_RNA910_R1","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"587","Sinv_RNA-XM_026132617.1_R1","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"588","Sinv_RNA-XM_011167411.2_R1","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"589","Mpha_ver3_rna-XM_012685826.2_R7","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"590","Aech_RNA894_R4","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"591","Sinv_RNA-XM_011157198.2_R6","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"592","Mpha_ver3_rna-XM_036294769.1_R4","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"594","Sinv_RNA-XM_026138909.1_R3","gene_12144","PREDICTED: acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"595","Aech_RNA900_R0","gene_11982","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"606","Sinv_RNA-XM_026138909.1_R0","gene_11982","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"607","Sinv_RNA-XM_026141055.1_R0","gene_11982","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"608","Sinv_RNA-XM_011167361.2_R0","gene_11982","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"609","Aech_RNA896_R0","gene_11983","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"613","Aech_RNA894_R0","gene_11983","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"614","Aech_RNA895_R0","gene_11983","PREDICTED: delta(9)-fatty-acid desaturase fat-6-like isoform X3 [Acromyrmex echinatior]"
"615","Aech_RNA885_R0","gene_11984","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"616","Aech_RNA889_R0","gene_11984","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X2 [Acromyrmex echinatior]"
"617","Aech_RNA883_R0","gene_11985","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"623","Aech_RNA884_R0","gene_11985","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"624","Aech_RNA4673_R1","gene_11985","PREDICTED: acyl-CoA Delta(11) desaturase-like isoform X1 [Acromyrmex echinatior]"
"625","Aech_RNA881_R0","gene_11981","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"630","Aech_RNA878_R0","gene_11986","Acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"636","Sinv_RNA-XM_026137651.1_R0","gene_11986","Acyl-CoA Delta(11) desaturase [Acromyrmex echinatior]"
"637","Aech_RNA877_R0","gene_11987","PREDICTED: acyl-CoA Delta(11) desaturase-like [Acromyrmex echinatior]"
"645","Aech_RNA876_R0","gene_12145","PREDICTED: glutamate receptor ionotropic, delta-2-like [Acromyrmex echinatior]"
"648","Aech_RNA875_R0","gene_11988","PREDICTED: uncharacterized protein LOC105146690 [Acromyrmex echinatior]"
"651","Aech_RNA874_R0","gene_12146","PREDICTED: acyl-CoA dehydrogenase family member 9, mitochondrial [Acromyrmex echinatior]"
"654","Aech_RNA873_R0","gene_11989","PREDICTED: programmed cell death protein 2-like [Acromyrmex echinatior]"
"657","Aech_RNA869_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X1 [Acromyrmex echinatior]"
"660","Aech_RNA872_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X2 [Acromyrmex echinatior]"
"661","Sinv_RNA-XM_026132623.1_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X1 [Acromyrmex echinatior]"
"662","Sinv_RNA-XM_011167377.2_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X1 [Acromyrmex echinatior]"
"663","Sinv_RNA-XM_011167376.2_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X1 [Acromyrmex echinatior]"
"664","Mpha_ver3_rna-XM_012672120.3_R0","gene_11990","PREDICTED: protein fuzzy homolog isoform X1 [Acromyrmex echinatior]"
"665","Aech_RNA6763_R0","gene_12147","RNA-binding protein Rsf1 isoform X1 [Solenopsis invicta]"
"668","Aech_RNA6762_R0","gene_11991","PREDICTED: centromere/kinetochore protein zw10 homolog [Acromyrmex echinatior]"
"671","Aech_RNA6761_R0","gene_12148","PREDICTED: post-GPI attachment to proteins factor 2-like [Acromyrmex echinatior]"
"675","Aech_RNA6756_R0","gene_11992","PREDICTED: L-2-hydroxyglutarate dehydrogenase, mitochondrial [Acromyrmex echinatior]"
"679","Sinv_RNA-XM_026132599.1_R0","gene_11992","PREDICTED: L-2-hydroxyglutarate dehydrogenase, mitochondrial [Acromyrmex echinatior]"
"680","Aech_RNA6751_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X1 [Acromyrmex echinatior]"
"682","Aech_RNA6753_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X3 [Acromyrmex echinatior]"
"684","Aech_RNA6752_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X4 [Acromyrmex echinatior]"
"686","Aech_RNA6754_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X2 [Acromyrmex echinatior]"
"687","Mpha_ver3_rna-XM_036290823.1_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X3 [Acromyrmex echinatior]"
"688","Mpha_ver3_rna-XM_036290824.1_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X2 [Acromyrmex echinatior]"
"689","Mpha_ver3_rna-XM_036294396.1_R0","gene_12149","PREDICTED: E3 ubiquitin-protein ligase TRIM9 isoform X1 [Acromyrmex echinatior]"
"690","Mpha_ver3_rna-XM_036292244.1_R0","gene_11993","Putative nuclease HARBI1 [Trachymyrmex zeteki]"
"691","Mpha_ver3_rna-XM_036292331.1_R0","gene_12150","uncharacterized protein LOC105199862, partial [Solenopsis invicta]"
"692","Aech_RNA6750_R0","gene_12151","PREDICTED: uncharacterized protein LOC105144707 [Acromyrmex echinatior]"
"693","Mpha_ver3_rna-XM_036293931.1_R6","gene_12152",NA
"694","Aech_RNA6748_R0","gene_11994","PREDICTED: uncharacterized protein LOC105144706 [Acromyrmex echinatior]"
"697","Aech_RNA6745_R0","gene_12153","PREDICTED: organic cation transporter 1-like isoform X2 [Acromyrmex echinatior]"
"700","Aech_RNA6744_R0","gene_12153","PREDICTED: organic cation transporter 1-like isoform X1 [Acromyrmex echinatior]"
"702","Aech_RNA6747_R0","gene_12153","PREDICTED: organic cation transporter 1-like isoform X3 [Acromyrmex echinatior]"
"703","Sinv_RNA-XM_011167388.2_R0","gene_12153","PREDICTED: organic cation transporter 1-like isoform X2 [Acromyrmex echinatior]"
"704","Mpha_ver3_rna-XM_036291541.1_R0","gene_12153","PREDICTED: organic cation transporter 1-like isoform X3 [Acromyrmex echinatior]"
"705","Aech_RNA6743_R0","gene_12154","PREDICTED: tubulin beta chain-like [Acromyrmex echinatior]"
"717","Aech_RNA6742_R0","gene_11995","PREDICTED: tubulin beta chain-like [Acromyrmex echinatior]"
"729","Aech_RNA6741_R0","gene_11996","tubulin beta-1 chain [Bombus terrestris]"
"741","Aech_RNA6740_R0","gene_12155","PREDICTED: uncharacterized protein LOC105144692 [Acromyrmex echinatior]"
"742","Aech_RNA6738_R0","gene_11997","PREDICTED: valacyclovir hydrolase [Acromyrmex echinatior]"
"745","Aech_RNA6737_R0","gene_11998","PREDICTED: ubiquitin-conjugating enzyme E2 C [Acromyrmex echinatior]"
"748","Aech_RNA6735_R0","gene_12156","PREDICTED: kxDL motif-containing protein CG10681 [Acromyrmex echinatior]"
"751","Aech_RNA6732_R0","gene_12157","PREDICTED: protein CBFA2T2 [Acromyrmex echinatior]"
"754","Aech_RNA6733_R0","gene_11999","PREDICTED: uncharacterized protein LOC105144685 isoform X1 [Acromyrmex echinatior]"
"755","Aech_RNA6730_R0","gene_12000","PREDICTED: nucleolar protein 9 [Acromyrmex echinatior]"
"758","Aech_RNA6727_R0","gene_12001","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Acromyrmex echinatior]"
"764","Mpha_ver3_rna-XM_012676488.3_R3","gene_12002","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Atta colombica]"
"765","Sinv_RNA-XM_011167404.2_R3","gene_12002","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Atta colombica]"
"767","Aech_RNA6725_R0","gene_12002","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Acromyrmex echinatior]"
"768","Aech_RNA6724_R0","gene_12003","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Acromyrmex echinatior]"
"774","Sinv_RNA-XM_011171817.2_R1","gene_12003","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Acromyrmex echinatior]"
"775","Sinv_RNA-XM_011171808.2_R1","gene_12003","PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Acromyrmex echinatior]"
"776","Aech_RNA6722_R0","gene_12004","PREDICTED: hemicentin-1 [Acromyrmex echinatior]"
"777","Sinv_RNA-XM_026132607.1_R0","gene_12004","uncharacterized protein LOC105200045 [Solenopsis invicta]"
"778","Mpha_ver3_rna-XM_012676483.3_R0","gene_12004","PREDICTED: hemicentin-1 isoform X1 [Trachymyrmex cornetzi]"
"779","Mpha_ver3_rna-XM_012676484.3_R0","gene_12004","PREDICTED: hemicentin-1 isoform X2 [Trachymyrmex cornetzi]"
"780","Mpha_ver3_rna-XM_012676486.3_R0","gene_12004","PREDICTED: hemicentin-1 isoform X4 [Trachymyrmex cornetzi]"
"781","Mpha_ver3_rna-XM_036291195.1_R0","gene_12004","PREDICTED: hemicentin-1 isoform X1 [Trachymyrmex cornetzi]"
"782","Mpha_ver3_rna-XM_036291196.1_R0","gene_12004","PREDICTED: uncharacterized protein LOC108759110 isoform X5 [Trachymyrmex cornetzi]"
"783","Aech_RNA13267_R0","gene_12005","PREDICTED: neuromedin-B receptor [Acromyrmex echinatior]"
